标题,评分,评分人数,简介
肖申克的救赎,9.7,3261997人评价,（暂无简评）
霸王别姬,9.6,2406635人评价,（暂无简评）
泰坦尼克号,9.5,2480107人评价,（暂无简评）
阿甘正传,9.5,2415066人评价,（暂无简评）
千与千寻,9.4,2518844人评价,（暂无简评）
美丽人生,9.5,1472686人评价,（暂无简评）
星际穿越,9.4,2161048人评价,（暂无简评）
这个杀手不太冷,9.4,2538129人评价,（暂无简评）
盗梦空间,9.4,2309931人评价,（暂无简评）
楚门的世界,9.4,2001014人评价,（暂无简评）
辛德勒的名单,9.5,1239791人评价,（暂无简评）
忠犬八公的故事,9.4,1534351人评价,（暂无简评）
海上钢琴师,9.3,1867938人评价,（暂无简评）
疯狂动物城,9.3,2298515人评价,（暂无简评）
三傻大闹宝莱坞,9.2,2065774人评价,（暂无简评）
机器人总动员,9.3,1480285人评价,（暂无简评）
放牛班的春天,9.3,1463951人评价,（暂无简评）
无间道,9.3,1552987人评价,（暂无简评）
控方证人,9.6,733453人评价,（暂无简评）
大话西游之大圣娶亲,9.2,1699570人评价,（暂无简评）
寻梦环游记,9.1,1969237人评价,（暂无简评）
熔炉,9.3,1030520人评价,（暂无简评）
触不可及,9.3,1285841人评价,（暂无简评）
教父,9.3,1098832人评价,（暂无简评）
末代皇帝,9.3,1021356人评价,（暂无简评）
当幸福来敲门,9.1,1678137人评价,（暂无简评）
哈利·波特与魔法石,9.2,1410942人评价,（暂无简评）
龙猫,9.2,1402971人评价,（暂无简评）
活着,9.3,963599人评价,（暂无简评）
怦然心动,9.1,2039277人评价,（暂无简评）
蝙蝠侠：黑暗骑士,9.2,1185764人评价,（暂无简评）
指环王3：王者无敌,9.3,904287人评价,（暂无简评）
我不是药神,9.0,2337473人评价,（暂无简评）
乱世佳人,9.3,788746人评价,（暂无简评）
飞屋环游记,9.1,1489886人评价,（暂无简评）
让子弹飞,9.0,1909422人评价,（暂无简评）
哈尔的移动城堡,9.1,1280161人评价,（暂无简评）
十二怒汉,9.4,574258人评价,（暂无简评）
海蒂和爷爷,9.3,771980人评价,（暂无简评）
素媛,9.3,771453人评价,（暂无简评）
猫鼠游戏,9.1,1200942人评价,（暂无简评）
天空之城,9.2,1002910人评价,（暂无简评）
鬼子来了,9.3,710407人评价,（暂无简评）
摔跤吧！爸爸,9.0,1735575人评价,（暂无简评）
少年派的奇幻漂流,9.1,1482367人评价,（暂无简评）
钢琴家,9.3,745037人评价,（暂无简评）
指环王2：双塔奇兵,9.2,851482人评价,（暂无简评）
死亡诗社,9.2,873353人评价,（暂无简评）
大话西游之月光宝盒,9.0,1357988人评价,（暂无简评）
何以为家,9.1,1156923人评价,（暂无简评）
绿皮书,8.9,1879894人评价,（暂无简评）
闻香识女人,9.1,1016271人评价,（暂无简评）
大闹天宫,9.4,506231人评价,（暂无简评）
黑客帝国,9.1,943949人评价,（暂无简评）
指环王1：护戒使者,9.1,953804人评价,（暂无简评）
罗马假日,9.1,1043386人评价,（暂无简评）
教父2,9.3,635084人评价,（暂无简评）
狮子王,9.1,954977人评价,（暂无简评）
天堂电影院,9.2,737368人评价,（暂无简评）
饮食男女,9.2,719623人评价,（暂无简评）
辩护人,9.2,654838人评价,（暂无简评）
本杰明·巴顿奇事,9.0,1099006人评价,（暂无简评）
搏击俱乐部,9.0,967319人评价,（暂无简评）
美丽心灵,9.1,849753人评价,（暂无简评）
穿条纹睡衣的男孩,9.2,638294人评价,（暂无简评）
情书,8.9,1317185人评价,（暂无简评）
哈利·波特与死亡圣器(下),9.0,964811人评价,（暂无简评）
两杆大烟枪,9.1,673587人评价,（暂无简评）
窃听风暴,9.2,628861人评价,（暂无简评）
音乐之声,9.1,680366人评价,（暂无简评）
功夫,8.9,1326799人评价,（暂无简评）
哈利·波特与阿兹卡班的囚徒,9.0,884946人评价,（暂无简评）
西西里的美丽传说,8.9,1088229人评价,（暂无简评）
阿凡达,8.8,1578651人评价,（暂无简评）
看不见的客人,8.8,1432732人评价,（暂无简评）
拯救大兵瑞恩,9.1,721160人评价,（暂无简评）
沉默的羔羊,8.9,1010501人评价,（暂无简评）
小鞋子,9.2,461695人评价,（暂无简评）
布达佩斯大饭店,8.9,1079135人评价,（暂无简评）
蝴蝶效应,8.9,1062099人评价,（暂无简评）
飞越疯人院,9.1,601022人评价,（暂无简评）
禁闭岛,8.9,1106689人评价,（暂无简评）
还有明天,9.3,359020人评价,（暂无简评）
心灵捕手,9.0,811078人评价,（暂无简评）
致命魔术,8.9,959905人评价,（暂无简评）
低俗小说,8.9,954125人评价,（暂无简评）
超脱,9.0,718811人评价,（暂无简评）
哈利·波特与密室,8.9,911100人评价,（暂无简评）
一一,9.1,504225人评价,（暂无简评）
喜剧之王,8.8,1089520人评价,（暂无简评）
摩登时代,9.3,345000人评价,（暂无简评）
杀人回忆,8.9,832201人评价,（暂无简评）
致命ID,8.9,942290人评价,（暂无简评）
春光乍泄,9.0,706816人评价,（暂无简评）
加勒比海盗,8.8,964055人评价,（暂无简评）
海豚湾,9.3,381466人评价,（暂无简评）
美国往事,9.1,469410人评价,（暂无简评）
红辣椒,9.0,566138人评价,（暂无简评）
七宗罪,8.8,1056930人评价,（暂无简评）
唐伯虎点秋香,8.8,1219285人评价,（暂无简评）
狩猎,9.1,467505人评价,（暂无简评）
幽灵公主,8.9,666379人评价,（暂无简评）
甜蜜蜜,8.9,669231人评价,（暂无简评）
寄生虫,8.8,1541885人评价,（暂无简评）
蝙蝠侠：黑暗骑士崛起,8.9,811104人评价,（暂无简评）
天书奇谭,9.2,332684人评价,（暂无简评）
7号房的礼物,8.9,619851人评价,（暂无简评）
超能陆战队,8.8,1140769人评价,（暂无简评）
第六感,8.9,634144人评价,（暂无简评）
爱在黎明破晓前,8.8,796526人评价,（暂无简评）
茶馆,9.6,206564人评价,（暂无简评）
爱在日落黄昏时,8.9,650481人评价,（暂无简评）
被嫌弃的松子的一生,8.8,773024人评价,（暂无简评）
哈利·波特与火焰杯,8.8,797706人评价,（暂无简评）
重庆森林,8.8,919695人评价,（暂无简评）
未麻的部屋,9.1,422945人评价,（暂无简评）
头脑特工队,8.8,801439人评价,（暂无简评）
借东西的小人阿莉埃蒂,8.9,625677人评价,（暂无简评）
入殓师,8.9,741314人评价,（暂无简评）
菊次郎的夏天,8.9,671530人评价,（暂无简评）
断背山,8.8,780384人评价,（暂无简评）
剪刀手爱德华,8.7,1118190人评价,（暂无简评）
勇敢的心,8.9,604287人评价,（暂无简评）
时空恋旅人,8.8,789264人评价,（暂无简评）
消失的爱人,8.7,1069765人评价,（暂无简评）
驯龙高手,8.8,861905人评价,（暂无简评）
无人知晓,9.1,371003人评价,（暂无简评）
倩女幽魂,8.8,833598人评价,（暂无简评）
傲慢与偏见,8.7,929205人评价,（暂无简评）
花样年华,8.8,801601人评价,（暂无简评）
新世界,8.9,525150人评价,（暂无简评）
完美的世界,9.1,359162人评价,（暂无简评）
玩具总动员3,8.9,590534人评价,（暂无简评）
一个叫欧维的男人决定去死,8.9,566601人评价,（暂无简评）
阳光灿烂的日子,8.8,693857人评价,（暂无简评）
色，戒,8.7,957281人评价,（暂无简评）
小森林 夏秋篇,9.0,472202人评价,（暂无简评）
怪兽电力公司,8.8,767986人评价,（暂无简评）
天使爱美丽,8.7,1019279人评价,（暂无简评）
教父3,9.0,430746人评价,（暂无简评）
侧耳倾听,8.9,519214人评价,（暂无简评）
哪吒闹海,9.2,307294人评价,（暂无简评）
九品芝麻官,8.8,791246人评价,（暂无简评）
请以你的名字呼唤我,8.8,821420人评价,（暂无简评）
被解救的姜戈,8.8,689770人评价,（暂无简评）
幸福终点站,8.8,640190人评价,（暂无简评）
釜山行,8.6,1346395人评价,（暂无简评）
神偷奶爸,8.7,1044246人评价,（暂无简评）
小森林 冬春篇,9.0,419566人评价,（暂无简评）
喜宴,9.0,429857人评价,（暂无简评）
萤火之森,8.8,608981人评价,（暂无简评）
告白,8.8,742009人评价,（暂无简评）
玛丽和麦克斯,9.0,469361人评价,（暂无简评）
七武士,9.3,234630人评价,（暂无简评）
头号玩家,8.6,1512997人评价,（暂无简评）
模仿游戏,8.8,718457人评价,（暂无简评）
惊魂记,9.0,354966人评价,（暂无简评）
大鱼,8.8,625673人评价,（暂无简评）
射雕英雄传之东成西就,8.7,716448人评价,（暂无简评）
心灵奇旅,8.7,1138951人评价,（暂无简评）
血战钢锯岭,8.7,857894人评价,（暂无简评）
你的名字。,8.5,1588991人评价,（暂无简评）
背靠背，脸对脸,9.5,178851人评价,（暂无简评）
我是山姆,9.0,375658人评价,（暂无简评）
机器人之梦,9.1,431968人评价,（暂无简评）
阳光姐妹淘,8.8,637433人评价,（暂无简评）
恐怖直播,8.7,726765人评价,（暂无简评）
黑客帝国3：矩阵革命,8.8,496289人评价,（暂无简评）
小丑,8.7,1123547人评价,（暂无简评）
三块广告牌,8.7,918067人评价,（暂无简评）
谍影重重3,8.9,469800人评价,（暂无简评）
电锯惊魂,8.7,611455人评价,（暂无简评）
末路狂花,9.0,344316人评价,（暂无简评）
高山下的花环,9.5,157444人评价,（暂无简评）
无间道2,8.8,565278人评价,（暂无简评）
达拉斯买家俱乐部,8.8,504906人评价,（暂无简评）
疯狂原始人,8.7,919601人评价,（暂无简评）
绿里奇迹,8.9,387248人评价,（暂无简评）
爱在午夜降临前,8.9,471970人评价,（暂无简评）
疯狂的石头,8.6,923905人评价,（暂无简评）
雨中曲,9.1,267799人评价,（暂无简评）
2001太空漫游,8.9,395084人评价,（暂无简评）
海街日记,8.8,519723人评价,（暂无简评）
风之谷,8.9,392976人评价,（暂无简评）
上帝之城,9.0,332876人评价,（暂无简评）
心迷宫,8.7,615783人评价,（暂无简评）
英雄本色,8.6,605046人评价,（暂无简评）
记忆碎片,8.7,667671人评价,（暂无简评）
纵横四海,8.8,472833人评价,（暂无简评）
无敌破坏王,8.7,610965人评价,（暂无简评）
卢旺达饭店,8.9,366505人评价,（暂无简评）
小偷家族,8.7,893977人评价,（暂无简评）
东京教父,9.0,290160人评价,（暂无简评）
牯岭街少年杀人事件,8.9,367918人评价,（暂无简评）
